company_permalink,company_name,company_category_list,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
/organization/3leaf,3Leaf,Web Hosting,USA,CA,SF Bay Area,Santa Clara,/organization/storm-ventures,Storm Ventures,USA,CA,SF Bay Area,Menlo Park,/funding-round/0e48609ebae6e22610f87915b311b748,venture,C,9/22/08,35000000
/organization/3leaf,3Leaf,Web Hosting,USA,CA,SF Bay Area,Santa Clara,/organization/storm-ventures,Storm Ventures,USA,CA,SF Bay Area,Menlo Park,/funding-round/922e9e181fbd969dea0d5e47550c1ec8,venture,A,1/1/05,10000000
/organization/3leaf,3Leaf,Web Hosting,USA,CA,SF Bay Area,Santa Clara,/organization/storm-ventures,Storm Ventures,USA,CA,SF Bay Area,Menlo Park,/funding-round/95cd9adf449255623435fc637a30bd75,venture,B,4/30/07,20000000
/organization/3lm,3LM,Android|Enterprises|Mobile,,,,,/organization/accel-partners,Accel,USA,CA,SF Bay Area,Palo Alto,/funding-round/98426f99da019ad100541481f7daea89,seed,,7/1/10,1500000
/organization/3nder,3nder,iOS|Location Based Services|Mobile|Online Dating|Social Media,GBR,H9,London,London,/organization/haatch,Haatch,GBR,H7,GBR - Other,Stamford,/funding-round/6db48c373022fb64c9d5a39e7ddcc471,seed,,5/9/14,
/organization/3p-biopharmaceuticals,3P Biopharmaceuticals,Biotechnology|Pharmaceuticals,ESP,32,,,/organization/sodena,SODENA,ESP,32,Pamplona,Pamplona,/funding-round/f7c5e1fb7cdc4b50072f5f517f3bc7d9,venture,,6/29/07,4051500
/organization/3p-biopharmaceuticals,3P Biopharmaceuticals,Biotechnology|Pharmaceuticals,ESP,32,,,/organization/suanfarma-biotech,Suanfarma Biotech,ESP,29,Madrid,Madrid,/funding-round/8328c60ff4a5293346fec0d85618aa2c,venture,,2/5/08,732000
/organization/3par,3PAR,Cloud Data Services|Services|Software,USA,CA,SF Bay Area,Fremont,/organization/amerindo-investment-advisors,Amerindo Investment Advisors,,,,,/funding-round/117e8409532294df2eec79be944bfd7c,venture,C,7/2/01,100000000
/organization/3par,3PAR,Cloud Data Services|Services|Software,USA,CA,SF Bay Area,Fremont,/organization/mayfield-2,Mayfield,,,,,/funding-round/752853f8e94205c1a3b6447b6fac0b3b,venture,D,2/10/04,32000000
/organization/3par,3PAR,Cloud Data Services|Services|Software,USA,CA,SF Bay Area,Fremont,/organization/mayfield-fund,Mayfield Fund,USA,CA,SF Bay Area,Menlo Park,/funding-round/117e8409532294df2eec79be944bfd7c,venture,C,7/2/01,100000000
/organization/3par,3PAR,Cloud Data Services|Services|Software,USA,CA,SF Bay Area,Fremont,/organization/mayfield-fund,Mayfield Fund,USA,CA,SF Bay Area,Menlo Park,/funding-round/3dbe80508d63d9d4f464837a6d637299,venture,B,5/1/00,16000000
/organization/3par,3PAR,Cloud Data Services|Services|Software,USA,CA,SF Bay Area,Fremont,/organization/menlo-ventures,Menlo Ventures,USA,CA,SF Bay Area,Menlo Park,/funding-round/752853f8e94205c1a3b6447b6fac0b3b,venture,D,2/10/04,32000000
/organization/3par,3PAR,Cloud Data Services|Services|Software,USA,CA,SF Bay Area,Fremont,/organization/oracle,Oracle Corporation,USA,CA,SF Bay Area,Redwood Shores,/funding-round/3dbe80508d63d9d4f464837a6d637299,venture,B,5/1/00,16000000
/organization/3par,3PAR,Cloud Data Services|Services|Software,USA,CA,SF Bay Area,Fremont,/organization/oracle,Oracle Corporation,USA,CA,SF Bay Area,Redwood Shores,/funding-round/752853f8e94205c1a3b6447b6fac0b3b,venture,D,2/10/04,32000000
/organization/3par,3PAR,Cloud Data Services|Services|Software,USA,CA,SF Bay Area,Fremont,/organization/sun-microsystems,Sun Microsystems,USA,CA,SF Bay Area,Santa Clara,/funding-round/752853f8e94205c1a3b6447b6fac0b3b,venture,D,2/10/04,32000000
/organization/3par,3PAR,Cloud Data Services|Services|Software,USA,CA,SF Bay Area,Fremont,/organization/veritas-software,Veritas Software,USA,CA,SF Bay Area,Mountain View,/funding-round/752853f8e94205c1a3b6447b6fac0b3b,venture,D,2/10/04,32000000
/organization/3par,3PAR,Cloud Data Services|Services|Software,USA,CA,SF Bay Area,Fremont,/organization/worldview-technology-partners,Worldview Technology Partners,USA,CA,SF Bay Area,San Mateo,/funding-round/117e8409532294df2eec79be944bfd7c,venture,C,7/2/01,100000000
/organization/3par,3PAR,Cloud Data Services|Services|Software,USA,CA,SF Bay Area,Fremont,/organization/worldview-technology-partners,Worldview Technology Partners,USA,CA,SF Bay Area,San Mateo,/funding-round/3dbe80508d63d9d4f464837a6d637299,venture,B,5/1/00,16000000
/organization/3par,3PAR,Cloud Data Services|Services|Software,USA,CA,SF Bay Area,Fremont,/organization/worldview-technology-partners,Worldview Technology Partners,USA,CA,SF Bay Area,San Mateo,/funding-round/752853f8e94205c1a3b6447b6fac0b3b,venture,D,2/10/04,32000000
/organization/3pillar-global,3Pillar Global,Consulting|Software,USA,VA,"Washington, D.C.",Fairfax,/organization/nestors-financial,Nestors Financial,,,,,/funding-round/faa9ac3cc0d859ccd890515fd9795b34,venture,,6/9/11,10000000
/organization/3pillar-global,3Pillar Global,Consulting|Software,USA,VA,"Washington, D.C.",Fairfax,/organization/newspring-capital,NewSpring Capital,USA,PA,Philadelphia,Radnor,/funding-round/5e3af748b15d27446e226604e4600531,venture,A,6/6/13,12000000
/organization/3pl-central,3PL Central,,USA,CA,Los Angeles,Manhattan Beach,/organization/mainsail-partners,Mainsail Partners,USA,CA,SF Bay Area,San Francisco,/funding-round/895e7a284b35bdf86103e52db8a630a6,venture,,12/3/15,17500000
/organization/3play-media,3Play Media,Software,USA,MA,Boston,Cambridge,/organization/masschallenge,MassChallenge,USA,MA,Boston,Boston,/funding-round/1a970404bc1251554db8a0bd6d821893,seed,,10/21/11,50000
/organization/3point5-com,3point5.com,Curated Web,USA,UT,Salt Lake City,Salt Lake City,/organization/vspring-capital,vSpring Capital,USA,UT,Salt Lake City,Salt Lake City,/funding-round/10a0c7840eaef978b4dda637875c5f09,venture,B,10/9/06,1500000
